%http://www.sequoiasci.com/article/angles-for-lisst-100x-vsf-measurement-in-water/
RingNumber,SizebinNumber,typeB_Lower,typeB_Upper,typeB_Median,typeC_Lower,typeC_Upper,typeC_Median
1,32,0.075,0.089,0.082,0.038,0.044,0.041
2,31,0.089,0.105,0.096,0.044,0.052,0.048
3,30,0.105,0.124,0.114,0.052,0.062,0.057
4,29,0.124,0.146,0.134,0.062,0.073,0.067
5,28,0.146,0.172,0.158,0.073,0.086,0.079
6,27,0.172,0.203,0.187,0.086,0.102,0.093
7,26,0.203,0.240,0.221,0.102,0.120,0.110
8,25,0.240,0.283,0.260,0.120,0.141,0.130
9,24,0.283,0.334,0.307,0.141,0.167,0.154
10,23,0.334,0.394,0.362,0.167,0.197,0.181
11,22,0.394,0.465,0.428,0.197,0.232,0.214
12,21,0.465,0.548,0.505,0.232,0.274,0.252
13,20,0.548,0.647,0.596,0.274,0.324,0.298
14,19,0.647,0.764,0.703,0.324,0.382,0.351
15,18,0.764,0.901,0.829,0.382,0.451,0.415
16,17,0.901,1.063,0.979,0.451,0.532,0.489
17,16,1.063,1.255,1.155,0.532,0.627,0.578
18,15,1.255,1.481,1.363,0.627,0.740,0.682
19,14,1.481,1.747,1.609,0.740,0.874,0.804
20,13,1.747,2.062,1.898,0.874,1.031,0.949
21,12,2.062,2.433,2.240,1.031,1.217,1.120
22,11,2.433,2.871,2.643,1.217,1.436,1.322
23,10,2.871,3.389,3.119,1.436,1.694,1.560
24,9,3.389,3.999,3.681,1.694,1.999,1.841
25,8,3.999,4.719,4.344,1.999,2.359,2.172
26,7,4.719,5.568,5.126,2.359,2.784,2.563
27,6,5.568,6.571,6.049,2.784,3.286,3.025
28,5,6.571,7.754,7.138,3.286,3.877,3.569
29,4,7.754,9.151,8.424,3.877,4.575,4.212
30,3,9.151,10.800,9.941,4.575,5.399,4.970
31,2,10.800,12.740,11.730,5.399,6.371,5.865
32,1,12.740,15.040,13.840,6.371,7.519,6.921
